"filename", "language", "TypeScript", "JSON", "vue", "comment", "blank", "total"
"d:\FOrg-front\layouts\default.vue", "vue", 0, 0, 8, 0, 0, 8
"d:\FOrg-front\middleware\admin.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"d:\FOrg-front\middleware\organiser.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"d:\FOrg-front\middleware\warehouse_worker.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"d:\FOrg-front\package-lock.json", "JSON", 0, 19, 0, 0, 0, 19
"d:\FOrg-front\package.json", "JSON", 0, 2, 0, 0, 0, 2
"d:\FOrg-front\pages\companies\index.vue", "vue", 0, 0, 6, 0, -1, 5
"d:\FOrg-front\pages\equipment\index.vue", "vue", 0, 0, 6, 0, -1, 5
"d:\FOrg-front\pages\events\[e_id]\edit.vue", "vue", 0, 0, 8, 0, 2, 10
"d:\FOrg-front\pages\events\[e_id]\equipment.vue", "vue", 0, 0, -2, 0, 0, -2
"d:\FOrg-front\pages\events\[e_id]\vehicles.vue", "vue", 0, 0, 247, 0, 20, 267
"d:\FOrg-front\pages\events\[id].vue", "vue", 0, 0, 84, 0, 5, 89
"d:\FOrg-front\pages\events\index.vue", "vue", 0, 0, 215, 0, 19, 234
"d:\FOrg-front\pages\events\new.vue", "vue", 0, 0, 11, 0, 0, 11
"d:\FOrg-front\pages\index.vue", "vue", 0, 0, 11, 0, 2, 13
"d:\FOrg-front\pages\login.vue", "vue", 0, 0, -4, 0, 0, -4
"d:\FOrg-front\pages\qualifications\index.vue", "vue", 0, 0, 142, 0, 9, 151
"d:\FOrg-front\pages\users\[h_id]\edit.vue", "vue", 0, 0, 69, 0, 9, 78
"d:\FOrg-front\pages\users\[id].vue", "vue", 0, 0, 52, 0, 8, 60
"d:\FOrg-front\pages\users\index.vue", "vue", 0, 0, 69, 0, 9, 78
"d:\FOrg-front\pages\vehicles\index.vue", "vue", 0, 0, 6, 0, -1, 5
"d:\FOrg-front\pages\warehouses\index.vue", "vue", 0, 0, 6, 0, -1, 5
"Total", "-", 18, 21, 934, 0, 82, 1055
