"filename", "language", "JSON with Comments", "TypeScript", "JSON", "vue", "JavaScript", "CSS", "Markdown", "XML", "comment", "blank", "total"
"d:\FOrg-front\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 50, 0, 0, 26, 76
"d:\FOrg-front\app.vue", "vue", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\FOrg-front\assets\fonts\Amble-Regular-normal.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"d:\FOrg-front\assets\fonts\Amble-bold.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"d:\FOrg-front\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 2468, 0, 1, 2469
"d:\FOrg-front\assets\main.css", "CSS", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"d:\FOrg-front\layouts\default.vue", "vue", 0, 0, 0, 108, 0, 0, 0, 0, 0, 13, 121
"d:\FOrg-front\layouts\guest.vue", "vue", 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"d:\FOrg-front\middleware\admin.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\FOrg-front\middleware\organiser.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\FOrg-front\middleware\warehouse_worker.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\FOrg-front\nuxt.config.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 0, 1, 0, 48
"d:\FOrg-front\package-lock.json", "JSON", 0, 0, 9982, 0, 0, 0, 0, 0, 0, 1, 9983
"d:\FOrg-front\package.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 39
"d:\FOrg-front\pages\clients\[c_id]\edit.vue", "vue", 0, 0, 0, 63, 0, 0, 0, 0, 0, 9, 72
"d:\FOrg-front\pages\clients\[id].vue", "vue", 0, 0, 0, 52, 0, 0, 0, 0, 0, 7, 59
"d:\FOrg-front\pages\clients\index.vue", "vue", 0, 0, 0, 66, 0, 0, 0, 0, 0, 8, 74
"d:\FOrg-front\pages\clients\new.vue", "vue", 0, 0, 0, 55, 0, 0, 0, 0, 0, 5, 60
"d:\FOrg-front\pages\companies\[id].vue", "vue", 0, 0, 0, 76, 0, 0, 0, 0, 0, 7, 83
"d:\FOrg-front\pages\companies\[m_id]\edit.vue", "vue", 0, 0, 0, 98, 0, 0, 0, 0, 0, 8, 106
"d:\FOrg-front\pages\companies\index.vue", "vue", 0, 0, 0, 92, 0, 0, 0, 0, 0, 7, 99
"d:\FOrg-front\pages\companies\new.vue", "vue", 0, 0, 0, 81, 0, 0, 0, 0, 0, 5, 86
"d:\FOrg-front\pages\equipment\[id].vue", "vue", 0, 0, 0, 75, 0, 0, 0, 0, 0, 10, 85
"d:\FOrg-front\pages\equipment\[q_id]\edit.vue", "vue", 0, 0, 0, 161, 0, 0, 0, 0, 0, 23, 184
"d:\FOrg-front\pages\equipment\index.vue", "vue", 0, 0, 0, 258, 0, 0, 0, 0, 0, 14, 272
"d:\FOrg-front\pages\equipment\new.vue", "vue", 0, 0, 0, 118, 0, 0, 0, 0, 0, 12, 130
"d:\FOrg-front\pages\events\[e_id]\edit.vue", "vue", 0, 0, 0, 529, 0, 0, 0, 0, 0, 63, 592
"d:\FOrg-front\pages\events\[e_id]\equipment.vue", "vue", 0, 0, 0, 251, 0, 0, 0, 0, 0, 20, 271
"d:\FOrg-front\pages\events\[e_id]\vehicles.vue", "vue", 0, 0, 0, 247, 0, 0, 0, 0, 0, 20, 267
"d:\FOrg-front\pages\events\[id].vue", "vue", 0, 0, 0, 317, 0, 0, 0, 0, 0, 36, 353
"d:\FOrg-front\pages\events\index.vue", "vue", 0, 0, 0, 304, 0, 0, 0, 0, 0, 27, 331
"d:\FOrg-front\pages\events\new.vue", "vue", 0, 0, 0, 504, 0, 0, 0, 0, 0, 52, 556
"d:\FOrg-front\pages\inbox.vue", "vue", 0, 0, 0, 175, 0, 0, 0, 0, 0, 11, 186
"d:\FOrg-front\pages\index.vue", "vue", 0, 0, 0, 115, 0, 0, 0, 0, 0, 13, 128
"d:\FOrg-front\pages\login.vue", "vue", 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
